Program,Year,Term,CourseCode,CourseTitle,Units,LecHoursPerWeek,LabHoursPerWeek,
BET-ELET,Third Year,Second Semester,BET116,Technical Writing,3,3,0,3
BET-ELET,Fourth Year,First Semester,ENS 193,Technopreneurship for Engineers and Technologists,3,3,0,3
BET-ELET,Fourth Year,First Semester,BET195,Environmental Sciences & Engineering with Safety,3,3,0,3
BET-ELET,Fourth Year,First Semester,EET199,Undergraduate Thesis,3,1,6,7
BET-ELET,Fourth Year,First Semester,EET170,Electro-pneumatics,3,3,0,3
BET-ELET,Fourth Year,First Semester,EET170.1,Electro-pneumatics Laboratory,1,0,3,3
BET-ELET,Fourth Year,First Semester,EET171,Instrumentation and Control,3,3,0,3
BET-ELET,Fourth Year,First Semester,EET171.1,Instrumentation and Control Laboratory,1,0,3,3
BET-ELET,Fourth Year,First Semester,EET172,Auxiliary System,1,1,0,1
BET-ELET,Fourth Year,First Semester,EET172.1,Auxiliary System Laboratory,1,0,3,3
BET-ELET,Fourth Year,First Semester,EET173,Marine Electrical Equipment,2,2,0,2
BET-ELET,Fourth Year,First Semester,EET174,Electro Transport Technology,2,2,0,2
BET-ELET,Fourth Year,Second Semester,EET197,On-the-Job Training,12,0,40,40
